"","Date","^GSPC","QCOM","ACN","CRM","MSFT","VZ","TXN","NKE","LULU","RL","HSY","UAA","F","RY","WFC","AMX","GS","V","BAC","CVS","SNY","CI","DVA","SYK","BIIB","COST","NFLX","SBUX","TJX","DAL","WMT","SPY"
"1","2010-01-01",1073.869995,31.97053,34.152557,15.8875,22.791016,18.217033,18.315624,12.05785,14.12,73.547859,29.93034,3.175,8.644608,33.850983,23.299217,18.722519,133.571259,17.092144,14.155008,28.345633,27.13129,33.592033,29.879999,46.17556,53.740002,45.367744,8.892858,8.937081,16.663525,11.451265,43.284218,90.92775
"2","2010-02-01",1104.48999,29.922916,33.302708,16.987499,23.187311,18.189943,19.947729,12.786052,14.325,71.691269,32.666214,3.2575,9.362334,37.655548,22.405935,19.117125,140.424026,17.769325,15.535079,29.630424,26.976505,34.079449,30.805,47.225018,55.009998,48.164227,9.435715,9.396443,18.250532,12.097329,43.802677,93.764198
"3","2010-03-01",1169.430054,34.381916,34.952423,18.612499,23.799515,19.504042,20.021362,13.901991,20.74,76.274536,35.457581,3.67625,10.024238,40.651268,25.548124,21.592014,153.593033,19.081999,16.64473,32.097435,27.536671,36.38723,31.700001,50.889172,57.389999,47.313808,10.534286,9.954243,18.759844,13.660994,45.042164,99.064621
"4","2010-04-01",1186.689941,31.694284,36.360519,21.4,24.815191,18.171072,21.281395,14.590801,18.809999,80.727821,38.936237,4.21875,10.3831,42.163078,27.181826,22.080988,130.702179,18.91431,16.636187,32.413494,25.141218,31.927748,31.215,51.218037,53.290001,46.814587,14.128572,10.655591,20.445234,11.310817,43.698856,101.011406
"5","2010-05-01",1089.410034,29.137774,31.535769,21.6325,20.963724,17.588903,20.071209,13.91229,20.43,77.997978,38.762302,4.21125,9.35436,36.96312,23.553202,20.305244,129.856033,15.189297,14.68612,30.474695,22.045553,33.331924,31.715,47.285725,47.43,46.156898,15.878572,10.707021,20.05698,12.715306,41.189678,92.985573
"6","2010-06-01",1030.709961,27.053347,32.485538,21.455,18.781084,17.908472,19.13422,12.983908,18.610001,65.516129,39.972542,4.14125,8.038528,33.563885,21.048401,20.373869,118.458542,14.919478,13.407851,25.801849,22.959293,30.931868,31.219999,44.637436,47.450001,43.596184,15.521428,10.049461,18.630503,11.001828,39.388264,87.756905
"7","2010-07-01",1101.599976,31.370024,33.317638,24.737499,21.066483,19.803162,20.293123,14.36703,20.74,71.04567,39.196945,4.695,10.183731,36.710274,22.799698,21.278898,136.100555,15.467757,13.108436,27.007465,22.256617,30.633106,28.66,41.650177,55.880001,45.090992,14.65,10.27692,18.439535,11.123552,41.944786,94.196777
"8","2010-08-01",1049.329956,31.55126,30.762495,27.469999,19.156538,20.489185,19.009703,13.656873,16.434999,68.105301,38.75494,4.48375,9.00347,33.907024,19.362883,20.210268,123.566185,14.54623,11.633268,23.811708,21.85181,32.087086,32.310001,38.627251,53.799999,44.924015,17.931429,9.503566,17.626814,9.793967,41.084427,89.959763
"9","2010-09-01",1141.199951,37.364391,35.713078,27.950001,20.095709,22.61235,22.411966,15.635167,22.360001,80.801979,39.956806,5.63,9.761067,36.970791,20.690529,23.114168,130.79715,15.764376,12.230803,27.774452,25.395761,35.632397,34.514999,44.762543,56.119999,51.463543,23.165714,10.678134,19.960043,10.898833,44.109489,97.494156
"10","2010-10-01",1183.26001,37.389233,37.578995,29.0175,21.884548,22.53602,24.418634,16.130318,22.16,87.210106,41.552078,5.835,11.268295,37.857288,21.464781,24.817492,145.769485,16.592291,10.69887,26.591799,26.816397,35.014961,35.875,44.397209,62.709999,50.090977,24.795713,11.936107,20.52356,13.005565,44.645199,101.760506
"11","2010-11-01",1180.550049,38.76358,36.772556,34.805,20.727547,22.537201,26.376614,17.059231,26.809999,98.336395,39.293526,7.21625,12.71172,38.346333,22.411995,24.470757,141.255142,15.677332,10.23167,27.438227,23.310635,36.65815,36.349998,44.935459,63.970001,54.127583,29.414286,12.788685,20.398329,12.808939,44.579269,101.760506
"12","2010-12-01",1257.640015,41.137127,41.161148,33,23.04277,25.191538,26.957237,16.91861,34.209999,99.848717,39.861588,6.855,13.389572,37.466202,25.574699,25.079386,152.464279,15.061207,12.464885,30.775072,24.616701,36.50877,34.744999,48.173965,67.050003,57.81028,25.1,13.542476,19.979998,11.797707,44.447395,107.995468
"13","2011-01-01",1286.119995,44.993992,43.69075,32.285,22.894161,25.07889,28.126764,16.570757,34.34,96.568008,39.472691,7.4825,12.719694,38.425041,26.754808,24.926308,148.348022,14.94779,12.841026,30.270559,26.281748,41.846661,36.924999,51.809277,65.470001,57.514072,30.582857,13.289581,21.330299,10.926925,46.466259,111.092964
"14","2011-02-01",1327.219971,49.524151,43.699242,33.067501,21.94471,26.334982,29.649143,17.886694,38.794998,114.16433,44.232414,8.27875,12.00197,42.29948,26.622768,25.114378,148.493103,15.632586,13.364768,29.366005,26.411592,41.896454,39.685001,56.939804,68.400002,59.875786,29.524286,13.900742,22.446554,10.524302,43.076813,114.952065
"15","2011-03-01",1325.829956,45.725006,46.661755,33.395,21.08613,27.490528,28.77491,15.208611,44.525002,111.407303,46.258984,8.50625,11.890324,44.754978,26.208071,25.411793,144.102036,15.88236,12.466928,30.48521,26.900412,44.097336,42.755001,54.725574,73.470001,58.860241,33.968571,15.699343,22.51922,9.175995,43.134811,114.46859
"16","2011-04-01",1363.609985,47.609718,48.495281,34.650002,21.526291,26.94842,29.582539,16.77409,50.025002,118.013428,49.11879,8.5575,12.33691,45.469955,24.11286,25.018154,137.205856,16.853159,11.49316,32.172909,30.184671,46.679768,44.044998,53.26334,97.650002,64.937302,33.238571,15.380685,24.280727,9.719062,45.88232,118.295448
"17","2011-05-01",1345.199951,48.860634,49.111767,38.064999,20.77055,26.681021,29.497849,17.208113,45.400002,114.40361,47.433548,8.1475,11.898297,42.645542,23.499891,23.049944,127.865578,17.487421,10.997121,34.488129,30.253412,49.72995,42.025002,56.332748,94.730003,66.213753,38.685715,15.631364,24.009035,9.438165,46.082611,116.968803
"18","2011-06-01",1320.640015,47.541054,51.704704,37.244999,21.734264,26.89776,27.43384,18.334946,55.91,119.673935,48.686005,9.66375,10.997153,41.517151,23.338011,23.566051,121.235359,18.314104,10.25774,33.498676,32.115204,51.265015,43.305,52.983475,106.919998,65.409218,37.527142,16.898823,23.958406,8.586109,44.640209,114.428261
"19","2011-07-01",1292.280029,45.858402,50.609337,36.177502,22.904573,25.496157,24.86009,18.651108,60.540001,122.081917,48.334892,9.17625,9.737146,39.114799,23.238201,22.568821,122.947945,18.592312,9.095574,32.402248,30.979935,49.61034,41.77,49.20932,101.870003,63.00185,37.998573,17.155579,25.221771,7.38761,44.278999,112.695145
"20","2011-08-01",1218.890015,43.079117,45.859905,32.1875,22.235828,26.473171,21.99604,17.926994,54.73,123.925774,50.227516,8.8575,8.867901,37.553471,21.707846,22.49164,105.868027,19.100918,7.653021,32.118195,29.237064,46.590061,36.790001,44.228615,94.199997,63.235359,33.572857,16.526522,24.911634,7.050534,44.682228,106.499664
"21","2011-09-01",1131.420044,40.892952,45.081169,28.57,20.9377,26.934282,22.365297,17.691145,48.689999,117.228294,51.045879,8.30125,7.711565,33.599701,20.150005,19.429399,86.38871,18.762598,5.73981,30.043169,26.223013,41.805454,31.334999,42.680069,93.150002,66.335732,16.181429,16.071177,25.490103,7.022444,43.913952,98.596283
"22","2011-10-01",1253.300049,43.390427,51.567783,33.2925,22.401405,27.066019,25.78933,20.22323,56.48,143.714249,49.3139,10.55125,9.314487,35.951389,21.64538,22.368448,100.093971,20.412971,6.405703,32.493858,28.581488,44.197758,35,43.545879,116.360001,67.240372,11.725715,18.256235,27.08007,7.977495,47.992275,109.923546
"23","2011-11-01",1246.959961,46.081295,50.167767,29.605,21.518141,27.999561,25.399908,20.187551,49.700001,128.391617,49.70166,10.16625,8.453218,34.184807,21.603611,20.960518,87.58564,21.225025,5.102053,34.862789,27.98987,44.088112,38.09,44.382065,114.949997,68.896111,9.218572,18.73893,28.352968,7.602965,49.836842,109.476845
"24","2011-12-01",1257.599976,46.175545,46.09753,25.365,22.002237,29.773191,24.564491,20.22743,46.66,124.97052,53.562943,8.97375,8.58081,37.879047,23.135883,19.988575,82.94413,22.429525,5.224885,36.604141,29.213079,41.865261,37.904999,45.181908,110.050003,67.489349,9.898571,19.985008,29.849865,7.574877,50.564507,109.923546
"25","2012-01-01",1312.410034,49.653484,49.656815,29.200001,25.027969,27.947609,27.323889,22.158573,63.130001,137.764816,52.956039,9.9525,9.904616,38.92712,24.521017,20.528091,102.242416,22.232916,6.700256,37.474815,29.684772,44.686188,40.904999,50.595856,117.949997,66.638847,17.171429,20.814638,31.509987,9.878239,52.242714,115.750694
"26","2012-02-01",1365.680054,52.489853,51.562027,35.790001,26.901041,28.649429,28.291042,22.995993,67.019997,157.459732,52.626595,11.155,9.911464,42.207909,26.267122,21.173738,105.608612,25.707907,7.489626,40.634979,29.604822,43.968502,43.275002,48.961971,116.470001,69.708748,15.818571,21.092632,33.859131,9.185357,50.301487,120.774895
"27","2012-03-01",1408.469971,57.651264,55.857426,38.627499,27.521761,28.739637,28.511604,23.106796,74.730003,158.003601,53.507893,11.75,9.991524,43.58181,28.777845,21.960897,114.419083,26.268597,9.004277,40.36467,30.979935,49.092003,45.084999,50.641499,126,73.7575,16.434286,24.448538,36.82814,9.288354,52.106491,124.115547
"28","2012-04-01",1397.910034,54.06818,56.247124,38.932499,27.317019,30.355919,27.094933,24.160048,74.139999,156.314011,58.463444,12.24125,9.030799,43.401627,28.253986,23.570599,105.93679,27.377218,7.630585,40.202507,30.524229,46.124027,44.290001,50.002865,134.009995,71.629257,11.448571,25.095945,38.682995,10.262131,50.492039,123.827286
"29","2012-05-01",1310.329956,48.545315,49.983234,34.654999,24.902668,31.716208,24.288944,23.363131,72.639999,135.017853,58.332581,12.59125,8.490964,37.723644,27.095751,20.837648,88.042976,25.645269,6.915512,40.642296,27.206375,43.809345,40.625,47.144001,130.75,70.175217,9.062857,24.011099,39.378555,11.329542,56.414635,116.390739
"30","2012-06-01",1362.160034,47.367416,52.600574,34.564999,26.26829,33.848896,24.46804,19.212164,59.630001,127.087296,63.196877,11.81,7.711019,38.838303,28.454525,23.048775,88.611732,27.731192,7.706806,42.261124,31.617378,43.899143,49.105,50.48851,144.380005,77.424545,9.784286,23.467926,39.925117,10.252769,60.162327,120.489708
"31","2012-07-01",1379.319946,50.770241,52.784393,31.09,25.306522,34.382076,23.231424,20.431259,56.48,131.343552,62.942436,13.61,7.429594,38.770058,28.769361,23.60598,93.270622,28.951426,6.915398,40.922649,34.01086,40.187668,49.209999,47.864433,145.830002,78.38623,8.121428,19.929249,41.180622,9.035542,64.226646,122.546745
"32","2012-08-01",1406.579956,52.284504,53.922371,36.294998,26.465792,33.074776,24.92317,21.308914,65.190002,144.365051,63.01263,14.5525,7.510002,42.953583,28.956564,22.760216,97.726181,28.767494,7.527796,41.332134,34.270298,45.665081,48.634998,48.995956,146.589996,79.763588,8.531428,21.835028,42.58493,8.099218,62.647511,125.616859
"33","2012-09-01",1440.670044,53.143719,61.301685,38.172501,25.724844,35.100559,23.652979,21.080273,73.940002,137.613174,62.524502,13.9575,7.971251,44.027225,29.573597,22.61791,105.546173,30.325523,8.319204,43.936375,36.036114,47.061874,51.805,51.203808,149.210007,81.864914,7.777143,22.493341,41.761055,8.576744,64.026993,128.117416
"34","2012-10-01",1412.160034,50.065807,59.008232,36.494999,24.670267,34.384216,24.107845,20.296228,68.839996,140.221893,60.725254,13.065,9.022229,43.735809,28.854176,22.493393,113.632942,31.337282,8.791847,42.103424,36.69725,50.883095,56.259998,48.573185,138.210007,80.45092,11.32,20.359787,38.814751,9.016816,65.085419,126.457375
"35","2012-11-01",1416.180054,54.345448,60.146694,39.4175,23.010597,34.358089,25.663565,21.651089,71.779999,143.323914,64.623672,12.9575,9.30157,45.61832,28.27178,20.981382,109.362083,33.810207,9.30125,42.350754,37.341648,52.150188,54,50.013744,149.089996,84.938126,11.672857,23.007883,41.341492,9.363258,62.482712,127.173119
"36","2012-12-01",1426.189941,52.842026,58.88921,42.025002,23.278118,33.696156,26.900154,22.921547,76.230003,136.782257,64.068199,12.1325,10.520116,46.718483,29.462704,20.71344,118.935242,34.552704,10.952077,44.026218,39.651443,53.337456,55.264999,50.623234,146.369995,80.928696,13.227143,23.987354,39.688,11.114188,59.194607,127.405731
"37","2013-01-01",1498.109985,56.618595,63.662338,43.032501,23.923037,33.96093,28.807293,24.430048,69,152.295853,70.482109,12.7175,10.520116,48.291264,30.022997,22.521618,137.862671,35.995636,10.6893,46.621361,40.739391,58.206268,57.705002,58.131718,156.080002,89.822258,23.605715,25.101068,42.240387,13.005565,61.023155,134.877502
"38","2013-02-01",1514.680054,56.292702,65.84964,42.305,24.228064,36.657295,30.174706,24.615366,67.050003,158.690338,73.93306,12.32,10.319346,48.588608,30.454357,18.699387,139.634232,36.162033,10.604314,46.750366,39.509174,58.325996,59.810001,59.273014,166.339996,88.900681,26.868572,24.533035,42.044029,13.36137,61.747234,136.598389
"39","2013-03-01",1569.189941,57.407578,67.275383,44.7075,25.140427,38.721378,31.094925,26.879675,62.349998,154.88475,78.055595,12.8,10.761252,47.172657,32.112499,18.762043,137.666885,39.043755,11.511725,50.289574,42.74791,62.227028,59.294998,60.53492,192.619995,93.379692,27.040001,25.664482,43.819218,15.458739,65.280403,141.157379
"40","2013-04-01",1597.569946,53.023029,72.119362,41.110001,29.085922,42.471409,31.734709,28.970467,76.129997,166.507126,79.509163,14.27,11.219525,47.250885,32.971962,19.138002,136.65654,38.726528,11.634596,53.206898,44.647629,66.063164,59.325001,61.101307,218.929993,95.421364,30.867144,27.417511,45.712593,16.048626,68.239021,144.509216
"41","2013-05-01",1630.73999,54.64127,73.49382,42.330002,30.667637,38.594604,31.717726,28.086779,77.809998,160.555893,79.464577,15.5,12.831669,46.974617,35.203072,17.822153,151.63472,40.951809,12.910525,52.867352,44.430038,67.790367,62.035,61.855965,237.490005,96.477386,32.32143,28.454006,47.437241,16.863234,65.710327,147.921051
"42","2013-06-01",1606.280029,52.584045,64.408897,38.18,30.564117,40.075329,30.781479,29.201807,65.5,159.317932,79.996017,14.9275,12.752831,46.10487,36.110249,19.469206,141.949844,42.321388,12.154419,52.500076,44.600658,72.372948,60.400002,60.262749,215.199997,97.57618,30.155714,29.72184,47.056435,17.518656,65.795319,145.178894
"43","2013-07-01",1685.72998,55.878975,66.064766,43.75,28.174917,39.390694,34.60598,28.853287,69.57,167.734268,85.00473,16.782499,13.915178,49.267609,38.061451,18.779947,153.944,40.992115,13.809288,56.457325,44.574684,77.704323,58.205002,65.917221,218.130005,103.621185,34.925713,32.344219,48.917633,19.878195,68.842628,153.489197
"44","2013-08-01",1632.969971,57.367718,64.668472,49.130001,29.555346,38.101391,33.983685,28.807434,70.839996,152.394363,82.388374,18.16,13.424972,49.314548,35.944008,17.413158,142.775742,40.392319,13.355282,53.496353,41.370987,78.562943,53.755001,62.577381,213.020004,98.723412,40.558571,31.994862,49.556831,18.473707,64.461586,148.885696
"45","2013-09-01",1681.550049,58.575191,65.912613,51.91,29.65667,37.530437,35.843006,33.532852,73.129997,151.767868,83.305367,19.862499,13.988836,51.279148,36.402039,17.873299,148.968018,44.583443,13.052616,52.298328,43.838703,76.735901,56.900002,63.232239,240.759995,101.899948,44.172855,35.120647,53.153709,22.151279,65.723869,152.852341
"46","2013-10-01",1756.540039,60.463303,65.787277,53.360001,31.554777,40.618431,37.444324,34.973137,69.089996,152.97673,89.375389,20.2875,14.187848,53.651035,37.608967,19.316875,151.463211,45.882908,13.222687,57.37611,46.306412,76.855713,56.209999,69.365227,244.190002,104.403854,46.068573,36.982307,57.301193,24.771112,68.203178,160.709946
"47","2013-11-01",1805.810059,64.022026,70.259842,52.09,33.978642,40.355007,38.535786,36.53344,69.720001,161.833542,87.25898,20.174999,14.243857,53.653683,38.780666,20.96797,159.071182,47.467018,14.97372,61.943008,45.743599,87.308792,59.549999,69.891144,290.970001,110.977768,52.257141,37.169388,59.271248,27.212547,71.988792,165.472992
"48","2013-12-01",1848.359985,64.913452,74.567764,55.189999,33.589855,39.964622,39.351311,36.302628,59.029999,163.071106,88.014671,21.825001,12.867841,54.226364,40.279877,21.258652,167.453217,52.373669,14.737095,66.207596,46.436291,87.338753,63.369999,70.567314,279.570007,105.573608,52.595715,35.999725,60.213989,25.852741,69.927139,168.846466
"49","2014-01-01",1782.589966,64.887238,72.445541,60.529999,33.975948,39.053753,37.998085,33.84119,45.689999,145.269485,89.979004,27.0275,12.475882,49.91116,40.22665,19.339281,155.040161,50.668499,15.864181,62.646069,42.340752,86.170639,64.93,73.17363,312.640015,99.666023,58.475716,32.661057,54.195427,28.807873,66.750015,163.779572
